PrdAcctId,CityCd,CusType,MaritalStatus,SexCode,MemberType,KYCYN,Years since opening the account,years for cust,Age,ActTotBalFcy,churn?
SB,MUM,2.0,2.0,M ,0.0,Y,13.0,20.0,42.0,0.0,1
SB,MUM,2.0,1.0,M ,0.0,Y,12.0,8.0,33.0,20.4,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,20.0,42.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,13.0,7.0,56.0,14564.91,0
SB,MUM,1.0,2.0,M ,1.0,Y,13.0,7.0,56.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,6.0,34.0,192.38,0
SB,MUM,1.0,1.0,M ,0.0,Y,14.0,12.0,33.0,112.58,0
OD,NMM,10.0,2.0,M ,1.0,Y,9.0,20.0,70.0,0.0,0
OD,NMM,10.0,2.0,M ,1.0,Y,8.0,20.0,70.0,0.0,0
OD,NMM,10.0,2.0,M ,1.0,Y,8.0,20.0,70.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,12.0,33.0,55.0,1481.84,0
SB,MUM,11.0,1.0,M ,0.0,Y,16.0,5.0,57.0,5228.05,0
SB,MUM,10.0,2.0,F ,1.0,Y,13.0,12.0,65.0,3849.5,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,26.0,54.0,23879.01,0
OD,MUM,1.0,2.0,M ,0.0,Y,1.0,23.0,41.0,-435916.8,0
OD,MUM,1.0,2.0,M ,0.0,Y,8.0,23.0,41.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,20.0,48.0,0.46,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,13.0,30.0,0.0,0
SB,MUM,2.0,1.0,M ,0.0,Y,13.0,6.0,53.0,1123.0,0
OD,MUM,2.0,2.0,M ,2.0,Y,6.0,13.0,49.0,-193481.0,0
SB,MUM,2.0,2.0,M ,0.0,Y,15.0,5.0,47.0,133.0,0
SB,MUM,2.0,2.0,M ,0.0,Y,13.0,20.0,46.0,171.47,0
SB,MUM,2.0,2.0,M ,0.0,Y,16.0,20.0,50.0,0.0,1
SB,MUM,2.0,2.0,M ,0.0,Y,16.0,19.0,45.0,61.24,0
OD,MUM,2.0,1.0,M ,0.0,Y,9.0,20.0,36.0,0.0,0
OD,MUM,2.0,2.0,F ,0.0,Y,6.0,5.0,35.0,0.0,0
OD,MUM,2.0,2.0,M ,2.0,Y,3.0,20.0,37.0,-72679.2,0
SB,MUM,1.0,1.0,F ,1.0,Y,13.0,20.0,43.0,0.0,1
SB,MUM,1.0,1.0,F ,1.0,Y,14.0,20.0,43.0,0.0,1
SB,NMM,10.0,2.0,F ,0.0,Y,15.0,20.0,68.0,610132.5,0
SB,MUM,1.0,2.0,M ,1.0,Y,12.0,12.0,60.0,1232.2,0
SB,MUM,10.0,2.0,M ,0.0,Y,16.0,16.0,72.0,8760.03,0
SB,NBO,1.0,2.0,F ,0.0,Y,16.0,16.0,55.0,0.0,0
SB,MUM,10.0,2.0,M ,0.0,Y,16.0,16.0,75.0,0.0,0
